title,lyrics
Kansas City/Hey-Hey-Hey-Hey!,"  Ah, Kansas City Going to get my baby back home Yeah, yeah I'm going to Kansas City Going to get my baby back home Yeah, yeah Well, it's a long, long, time Since my baby's been gone  Ah, Kansas City Going to to get my baby one time Yeah, yeah I'm going to Kansas City Going to get my baby one time Yeah, yeah It's just a one, two, three, four Five, six, seven, eight, nine, wah  Hey, hey, hey, hey Hey, baby, woo no clown I say you're no clown Now, now, now, now Tell me baby What's been wrong with you Hey, hey, hey, hey Hey, now, baby, woo no clown I say you're no clown Now, now, now, now Tell me baby What's been wrong with you  Well, I'll say bye Bye, bye, baby bye, bye Oh, so long Bye, bye, baby I'm gone Yeah, I said Bye, bye, baby, bye, bye Bye, bye, bye, bye Well, I'll say bye Bye, bye, baby bye, bye Woo, so long Bye, bye, baby, I'm goneEmbed"
Kansas City/Hey Hey Hey Hey [Live at the BBC Disk 2],"  Ah, Kansas City Going to get my baby back home Yeah, yeah I'm going to Kansas City Going to get my baby back home Yeah, yeah Well, it's a long, long, time Since my baby's been gone  Ah, Kansas City Going to to get my baby one time Yeah, yeah I'm going to Kansas City Going to get my baby one time Yeah, yeah It's just a one, two, three, four Five, six, seven, eight, nine, wah  Hey, hey, hey, hey Hey, baby, woo no clown I say you're no clown Now, now, now, now Tell me baby What's been wrong with you Hey, hey, hey, hey Hey, now, baby, woo no clown I say you're no clown Now, now, now, now Tell me baby What's been wrong with you  Well, I'll say bye Bye, bye, baby bye, bye Oh, so long Bye, bye, baby I'm gone Yeah, I said Bye, bye, baby, bye, bye Bye, bye, bye, bye Well, I'll say bye Bye, bye, baby bye, bye Woo, so long Bye, bye, baby, I'm goneEmbed"
Kansas City (Live in Germany)," (Ba, ba, ba, ba) (Ba, ba-ba-ba, ba, ba) ""Kansas City Go, George  Ah, Kansas City Coming to get my baby back home Yeah, yeah I'm gonna Kansas city Coming to get my baby back home Yeah, yeah Well, it's a long, long, time Since my baby's been gone   Hey, hey, hey, hey (Hey, hey, hey, hey) Hey, baby (Hey baby) Hey, now (Hey, now) You're no clown (You're no clown) Now, now, now, baby What's been wrong with you Hey, hey, hey, hey (Hey, hey, hey, hey) Hey, baby (Hey baby) Ooh-ooh, now, now (Now, now) You're no clown (No clown) Now, tell me, baby What's been wrong with you  Goodbye (Bye-bye, bye-bye, bye-bye) Bye-bye, bye-bye (Bye-bye, bye-bye, bye-bye) So long (So long, so long, so long) Yeah, so long (So long, so long, so long) Bye, bye, baby I'm gone Yeah, I said Bye, bye, baby, bye, byeEmbed"
Keep Your Hands Off My Baby (Live at the BBC)," We've been friends for oh so long I let you share what's mine When you mess with the girl I love It's time to draw the line  Keep your hands (Keep your hands) off my baby Ain't gonna tell you but a-one more time Oh, keep your hands (Keep your hands) off my baby Boy, you get it through your head That girl is mine  I don't mind if you lend my clothes But you will be in touch There is something that you get straight There's one thing you don't touch  Keep your hands (Keep your hands) off my baby Ain't gonna tell you but a-one more time Oh, keep your hands (Keep your hands) off my baby Can you get it through your head? That girl is mine Keep your hands (Keep your hands) off my baby Ain't gonna tell you but a-one more time Oh, keep your hands (Keep your hands) off my baby Can you get it through your head? That girl is mine  (Keep your hands) Whoa, keep your hands off my baby She's mine (Keep your hands off my baby) You better watch yourself now Boy, you get it through your head That girl is mineEmbed"
"Keep Your Hands Off My Baby (Live at the BBC for “Saturday Club” / 26th January, 1963)"," We've been friends for oh so long I let you share what's mine When you mess with the girl I love It's time to draw the line  Keep your hands (Keep your hands) off my baby Ain't gonna tell you but a-one more time Oh, keep your hands (Keep your hands) off my baby Boy, you get it through your head That girl is mine  I don't mind if you lend my clothes But you will be in touch There is something that you get straight There's one thing you don't touch    (Keep your hands) Who, keep your hands off my baby She's mine (Keep your hands off my baby) You better watch yourself now Boy, you get it through your head That girl is mineEmbed"
"Komm, gib mir deine Hand"," Oh, komm doch, komm zu mir Du nimmst mir den Verstand Oh, komm doch, komm zu mir Komm, gib mir deine Hand Komm, gib mir deine Hand Komm, gib mir deine Hand  Oh, du bist so schön Schön wie ein Diamant Ich will mit dir gehen Komm, gib mir deine Hand Komm, gib mir deine Hand Komm, gib mir deine Hand  In deinen Armen bin ich glücklich und froh Das war noch nie bei einer anderen Einmal so Einmal so Einmal so  Oh, komm doch, komm zu mir Du nimmst mir den Verstand Oh, komm doch, komm zu mir Komm, gib mir deine Hand Komm, gib mir deine Hand Komm, gib mir deine Hand In deinen Armen bin ich glücklich und froh Das war noch nie bei einer anderen Einmal so Einmal so Einmal so  Oh, du bist so schön Schön wie ein Diamant Ich will mit dir gehen Komm, gib mir deine Hand Komm, gib mir deine Hand Komm, gib mir deine Hand4Embed"
Lady Madonna,"  Lady Madonna, children at your feet Wonder how you manage to make ends meet Who finds the money when you pay the rent? Did you think that money was heaven sent?  Friday night arrives without a suitcase Sunday morning creeping like a nun Monday's child has learned to tie his bootlace See how they run  Lady Madonna, baby at your breast Wonders how you manage to feed the rest  See how they run  Lady Madonna, lying on the bed Listen to the music playing in your head Tuesday afternoon is never ending Wednesday morning papers didn't come Thursday night your stockings needed mending See how they run  Lady Madonna, children at your feet Wonder how you manage to make ends meet 11Embed"
Lady Madonna (Backing Vocals from Take 3)," should make Marmite-flavored ones, if he rides in Do you like Marmite? I don't like Marmite Lady Madonna Haha, oh, ahaha, ahahaha, haha For the promotional film we just What? For the promotional film we just didn't have, don't have  in it  pantomime days and Woo Woo (Lady Madonna, children at your feet) We past a bit Yeah, can you go backEmbed"
Lady Madonna (Take 2 / Piano & Drums)," One, two, three, four Embed"
Leave My Kitten Alone," You better leave my kitten all alone You better leave my kitten all alone But I told you big fat bulldog You better leave her alone You better leave my kitten all alone You better leave my kitten all alone This dog is going to get you If you don't leave her alone  Well, Mister Dog, I'm going to hit you On the top of your head That child is going to miss you You're going to wish that you were dead If you don't leave my kitten all alone Well I told you big fat bulldog You better leave her alone  Alright Hey, hey, hey, hey Hey, hey, hey Hey hey  Yeah hey you better leave, you better leave You better leave, yeah you better leave You better leave, oh you got to leave Hey hey, well I told you big fat bulldogEmbed"
Lend Me Your Comb, Lend me your comb It's time to go home I got to confess My hair is a mess Your mammie will scold Your pappie will shout Unless we come in The way we went out  Kissing you was fun honey But thanks for the date But I must come to run honey But you know baby it's getting late  Just wait till I Straighten my tie Lend me your comb We got to go home Whoa! Ow!  Embed
Lend Me Your Comb (Live in Germany)," Lend me your comb It's time to go home I got to go past My hair is a mess Your mammie will scold Your pappie will shout Unless we come in The way we went out  Kissing you was fun honey But thanks for the date But I must come to run honey But you know baby it's getting late  Just wait till I say ""My darling Lend me your comb We got to go home"" Whoa! Ow!  Kissing you was fun honey But thanks for the date But I must come to run honey But you know baby it's getting late Just wait till I say ""My darling Lend me your comb We got to go home""Embed"
Let It Be," When I find myself in times of trouble, Mother Mary comes to me Speaking words of wisdom, ""Let it be"" And in my hour of darkness, she is standing right in front of me Speaking words of wisdom, ""Let it be""  Let it be, let it be, let it be, let it be Whisper words of wisdom, let it be  And when the brokenhearted people living in the world agree There will be an answer, let it be For though they may be parted, there is still a chance that they will see There will be an answer, let it be  Let it be, let it be, let it be, let it be Yeah, there will be an answer, let it be Let it be, let it be, let it be, let it be Whisper words of wisdom, let it be  Let it be, let it be, let it be, yeah, let it be Whisper words of wisdom, let it be And when the night is cloudy, there is still a light that shines on me Shine on 'til tomorrow, let it be I wake up to the sound of music, Mother Mary comes to me Speaking words of wisdom, ""Let it be""  Let it be, let it be, let it be, yeah, let it be Oh, there will be an answer, let it be Let it be, let it be, let it be, yeah, let it be Oh, there will be an answer, let it be Let it be, let it be, let it be, yeah, let it be Whisper words of wisdom, let it be116Embed"
